STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/1/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/2/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/3/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/4/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/5/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/6/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/7/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/8/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/9/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/10/20,0.04,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/11/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/12/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/13/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/14/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/15/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/16/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/17/20,0.06,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/18/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/19/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/20/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/21/20,0.02,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/22/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/23/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/24/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/25/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/26/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/27/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/28/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/29/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/30/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,1/31/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/1/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/2/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/3/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/4/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/5/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/6/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/7/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/8/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/9/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/10/20,0.04,
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/11/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/12/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/13/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/14/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/15/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/16/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/17/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/18/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/19/20,0,0
US1CASR0073,"HIGHLAND 1.8 ESE, CA US",34.1106,-117.1592,429.8,2/20/20,0,0
